epoch,train_loss,val_loss,train_ppl,val_ppl,val_bleu
1,4.69834897299624,4.668742318890185,109.7657964709403,106.56363504717339,11.913613177399663
2,3.9556079703849965,4.565701871849705,52.227437029024145,96.13004131398935,16.20138561090247
3,3.645338228888791,4.514981837731408,38.29572338127758,91.37590641356209,15.100001190659762
4,3.44117524936906,4.534652388130611,31.223632167545688,93.19111533563095,16.125795405601846
5,3.296303705062677,4.6058421044586,27.01260759720583,100.06721442582916,18.490085945853583
6,3.184400114434303,4.647178502541589,24.152795145951732,104.29031520745542,17.352859531623523
7,2.9400313153136968,4.649529162370777,18.916438677191145,104.53575462125546,16.299642841123205
8,2.8310799873140997,4.692331881981897,16.96377159318225,109.10730876028835,17.973963871365093
9,2.769000640336784,4.675250152804761,15.942693561131989,107.25939497485945,18.424270252805798
10,2.63676593612778,4.712838935434992,13.967957216508019,111.36787775684002,18.90746483617968
11,2.5753874946487136,4.728965714791078,13.136406459594284,113.17844300213075,20.500823098101584
12,2.5364399441798593,4.764831507518757,12.634610890188803,117.31134954213486,17.033992609071532
13,2.4669787840642385,4.773666730079984,11.786782588666156,118.35241366871324,19.456485389983204
14,2.436993342288558,4.790354309554698,11.438597042527888,120.34400013949981,17.24992097286277
15,2.4182530095614645,4.802379736747408,11.226230057240674,121.79992466326559,19.15100540327826
